colour,a0,a1,a2,a3,a4,a5,N,eTeff
B-V,0.5002,0.6440,-0.0690,-0.0230,-0.0566,-0.0170,495,88
b-y,0.4129,1.2570,-0.2268,-0.0242,-0.0464,-0.0200,434,87
Y-V,0.0644,1.7517,-0.5264,-0.0044,-0.0407,-0.0132,159,121
V-S,0.2417,1.3653,-0.3823,-0.0387,-0.0105,-0.0077,142,95
B2-V1,0.6019,0.7663,-0.0713,-0.0339,-0.0382,-0.0137,358,74
B2-G,0.8399,0.4909,-0.0666,-0.0360,-0.0468,-0.0124,368,66
t,0.7696,0.5927,0.3439,-0.0437,-0.0143,-0.0088,308,66
V-RC,0.4333,1.4399,-0.5419,-0.0481,-0.0239,-0.0125,133,84
V-IC,0.3295,0.9516,-0.2290,-0.0316,0.0003,-0.0081,127,68
RC-IC,0.2919,2.1141,-1.0723,-0.0756,0.0267,-0.0041,137,76
C(42-45),0.5153,0.5963,-0.0572,-0.0573,-0.0221,-0.0018,120,70
C(42-48),0.1601,0.4533,-0.0135,-0.0471,0.0305,-0.0020,133,70
BT-VT,0.5619,0.4462,-0.0029,0.0003,-0.0746,-0.0190,378,104
V-J2,0.4050,0.4792,-0.0617,-0.0392,0.0401,-0.0023,361,62
V-H2,0.4931,0.3056,-0.0241,-0.0396,0.0678,0.0020,364,57
V-K2,0.4942,0.2809,-0.0180,-0.0294,0.0444,-0.0008,397,50
VT-K2,0.4886,0.2773,-0.0195,-0.0300,0.0467,-0.0008,318,59
