colour,a0,a1,a2,a3,a4,a5,N,eTeff
B-V,0.5737,0.4882,-0.0149,0.0563,-0.1160,-0.0114,269,51
b-y,0.5515,0.9085,-0.1494,0.0616,-0.0668,-0.0083,208,68
Y-V,0.3672,1.0467,-0.1995,0.0650,-0.0913,-0.0133,159,78
V-S,0.3481,1.1188,-0.2068,0.0299,-0.0481,-0.0083,152,69
B2-V1,0.6553,0.6278,-0.0629,0.0627,-0.0816,-0.0084,200,45
B2-G,0.8492,0.4344,-0.0365,0.0466,-0.0696,-0.0107,189,39
t,0.7460,0.8151,-0.1943,0.0855,-0.0421,-0.0034,192,44
V-RC,0.3849,1.6205,-0.6395,0.1060,-0.0875,-0.0089,90,41
V-IC,0.3575,0.9069,-0.2025,0.0395,-0.0551,-0.0061,95,40
RC-IC,0.4351,1.6549,-0.7215,-0.0610,0.0332,-0.0023,128,62
C(42-45),0.4783,0.7748,-0.1361,-0.0712,-0.0117,0.0071,188,57
C(42-48),0.0023,0.6401,-0.0632,-0.0023,-0.0706,-0.0070,191,49
BT-VT,0.5726,0.4461,-0.0324,0.0518,-0.1170,-0.0094,261,82
V-J2,0.2943,0.5604,-0.0677,0.0179,-0.0532,-0.0088,163,38
V-H2,0.4354,0.3405,-0.0263,-0.0012,-0.0049,-0.0027,177,32
V-K2,0.4405,0.3272,-0.0252,-0.0016,-0.0053,-0.0040,182,28
VT-K2,0.4813,0.2871,-0.0203,-0.0045,0.0062,-0.0019,112,39
